Stock Code,Company,Board,Listing Date,Amount Raised (RM),Shares Listed,Listing Price (RM),First Day Closing Price (RM),First Day Closing vs Listing Price Premium / Discount (%),Current Closing Price (RM),First Day Closing Market Capitalisation (RM),Current Closing Market Capitalisation (RM),Current Market Cap vs First Day Closing Market Cap (%),Adviser / managing underwriter
0285,MERCURY SECURITIES GROUP BERHAD,ACE MARKET,19/09/2023,"57,152,000","893,000,000",0.250,0.300,20.00,0.395,"267,900,000","352,735,000",31.67,Public Investment Bank Berhad
0286,EVERGREEN MAX CASH CAPITAL BERHAD,ACE MARKET,26/09/2023,"74,544,000","1,114,902,499",0.240,0.315,31.25,0.390,"351,194,287","434,811,975",23.81,MERCURY SECURITIES SDN BHD
0287,SSF HOME GROUP BERHAD,ACE MARKET,12/10/2023,"56,000,000","800,000,000",0.250,0.265,6.00,0.385,"212,000,000","308,000,000",45.28,M & A SECURITIES SDN BHD
0288,MINOX INTERNATIONAL GROUP BERHAD,ACE MARKET,17/10/2023,"27,000,000","360,000,000",0.250,0.370,48.00,0.245,"133,200,000","88,200,000",-33.78,M & A SECURITIES SDN BHD
0289,PLYTEC HOLDING BERHAD,ACE MARKET,15/11/2023,"55,151,495","606,060,600",0.350,0.325,-7.14,0.330,"196,969,695","199,999,998",1.54,KAF INVESTMENT BANK BERHAD
0290,PANDA ECO SYSTEM BERHAD,ACE MARKET,27/11/2023,"27,375,488","671,187,000",0.160,0.260,62.50,0.365,"174,508,620","244,983,255",40.38,M & A SECURITIES SDN BHD
5317,CPE TECHNOLOGY BERHAD,MAIN MARKET,07/12/2023,"251,406,879","671,314,791",1.070,0.915,-14.49,1.240,"614,253,034","832,430,341",35.52,KAF Investment Bank Berhad
0291,CRITICAL HOLDINGS BERHAD,ACE MARKET,18/12/2023,"39,032,665","371,739,000",0.350,0.570,62.86,0.830,"211,891,230","308,543,370",45.61,MIDF AMANAH INVESTMENT BANK BERHAD
0292,JATI TINGGI GROUP BERHAD,ACE MARKET,20/12/2023,"27,486,000","391,800,800",0.270,0.310,14.81,0.530,"121,458,248","207,654,424",70.97,TA SECURITIES HOLDINGS BERHAD
0293,KJTS GROUP BERHAD,ACE MARKET,26/01/2024,"58,867,344","688,000,000",0.270,0.500,85.19,0.675,"344,000,000","464,400,000",35.00,Hong Leong Investment bank
0295,MASTER TEC GROUP BERHAD,ACE MARKET,29/01/2024,"111,384,000","1,020,000,000",0.390,0.360,-7.69,1.060,"367,200,000","1,081,200,000",194.44,SJ SECURITIES SDN BHD
0296,HE GROUP BERHAD,ACE MARKET,30/01/2024,"36,649,116","440,000,000",0.280,0.325,16.07,0.600,"143,000,000","264,000,000",84.62,Alliance Islamic bank Berhad
0297,TSA GROUP BERHAD,ACE MARKET,02/02/2024,"42,528,750","309,300,000",0.550,0.575,4.55,0.800,"177,847,500","247,440,000",39.13,AMINVESTMENT BANK BERHAD
0298,WENTEL ENGINEERING HOLDINGS BERHAD,ACE MARKET,06/02/2024,"82,992,000","1,150,000,000",0.260,0.280,7.69,0.330,"322,000,000","379,500,000",17.86,TA SECURITIES HOLDINGS BERHAD
0299,AGX GROUP BERHAD,ACE MARKET,07/02/2024,"44,275,000","432,866,125",0.350,0.360,2.86,0.520,"155,831,805","225,090,385",44.44,TA SECURITIES HOLDINGS BERHAD
0303,ALPHA IVF GROUP BERHAD,ACE MARKET,22/03/2024,"466,560,000","4,860,000,000",0.320,0.320,0.00,0.315,"1,555,200,000","1,530,900,000",-1.56,AmInvestment Bank Berhad
5320,PROLINTAS INFRA BUSINESS TRUST,MAIN MARKET,25/03/2024,"445,265,000","1,100,000,000",0.950,0.970,2.11,0.935,"1,067,000,000","1,028,500,000",-3.61,AMINVESTMENT BANK BERHAD
0301,ZANTAT HOLDINGS BERHAD,ACE MARKET,27/03/2024,"18,200,000","280,000,000",0.250,0.375,50.00,0.405,"105,000,000","113,400,000",8.00,M & A SECURITIES SDN BHD
0300,SBH MARINE HOLDINGS BERHAD,ACE MARKET,08/04/2024,"50,600,000","888,000,000",0.220,0.255,15.91,0.285,"226,440,000","253,080,000",11.76,KAF INVESTMENT BANK BERHAD
