Stock Code,Company,Board,Listing Date,Amount Raised (RM),Shares Listed,Listing Price (RM),First Day Closing Price (RM),First Day Closing vs Listing Price Premium / Discount (%),Current Closing Price (RM),First Day Closing Market Capitalisation (RM),Current Closing Market Capitalisation (RM),Current Market Cap vs First Day Closing Market Cap (%),Adviser / managing underwriter
0285,MERCURY SECURITIES GROUP BERHAD,ACE MARKET,19/09/2023,"57,152,000","893,000,000",0.250,0.300,20.00,0.385,"267,900,000","343,805,000",28.33,Public Investment Bank Berhad
0286,EVERGREEN MAX CASH CAPITAL BERHAD,ACE MARKET,26/09/2023,"74,544,000","1,114,902,499",0.240,0.315,31.25,0.365,"351,194,287","406,939,412",15.87,MERCURY SECURITIES SDN BHD
0287,SSF HOME GROUP BERHAD,ACE MARKET,12/10/2023,"56,000,000","800,000,000",0.250,0.265,6.00,0.355,"212,000,000","284,000,000",33.96,M & A SECURITIES SDN BHD
0288,MINOX INTERNATIONAL GROUP BERHAD,ACE MARKET,17/10/2023,"27,000,000","360,000,000",0.250,0.370,48.00,0.245,"133,200,000","88,200,000",-33.78,M & A SECURITIES SDN BHD
0289,PLYTEC HOLDING BERHAD,ACE MARKET,15/11/2023,"55,151,495","606,060,600",0.350,0.325,-7.14,0.320,"196,969,695","193,939,392",-1.54,KAF INVESTMENT BANK BERHAD
0290,PANDA ECO SYSTEM BERHAD,ACE MARKET,27/11/2023,"27,375,488","671,187,000",0.160,0.260,62.50,0.310,"174,508,620","208,067,970",19.23,M & A SECURITIES SDN BHD
5317,CPE TECHNOLOGY BERHAD,MAIN MARKET,07/12/2023,"251,406,879","671,314,791",1.070,0.915,-14.49,1.080,"614,253,034","725,019,974",18.03,KAF Investment Bank Berhad
0291,CRITICAL HOLDINGS BERHAD,ACE MARKET,18/12/2023,"39,032,665","371,739,000",0.350,0.570,62.86,0.790,"211,891,230","293,673,810",38.60,MIDF AMANAH INVESTMENT BANK BERHAD
0292,JATI TINGGI GROUP BERHAD,ACE MARKET,20/12/2023,"27,486,000","391,800,800",0.270,0.310,14.81,0.455,"121,458,248","178,269,364",46.77,TA SECURITIES HOLDINGS BERHAD
0293,KJTS GROUP BERHAD,ACE MARKET,26/01/2024,"58,867,344","688,000,000",0.270,0.500,85.19,0.680,"344,000,000","467,840,000",36.00,Hong Leong Investment bank
0295,MASTER TEC GROUP BERHAD,ACE MARKET,29/01/2024,"111,384,000","1,020,000,000",0.390,0.360,-7.69,1.060,"367,200,000","1,081,200,000",194.44,SJ SECURITIES SDN BHD
0296,HE GROUP BERHAD,ACE MARKET,30/01/2024,"36,649,116","440,000,000",0.280,0.325,16.07,0.565,"143,000,000","248,600,000",73.85,Alliance Islamic bank Berhad
0297,TSA GROUP BERHAD,ACE MARKET,02/02/2024,"42,528,750","309,300,000",0.550,0.575,4.55,0.920,"177,847,500","284,556,000",60.00,AMINVESTMENT BANK BERHAD
0298,WENTEL ENGINEERING HOLDINGS BERHAD,ACE MARKET,06/02/2024,"82,992,000","1,150,000,000",0.260,0.280,7.69,0.330,"322,000,000","379,500,000",17.86,TA SECURITIES HOLDINGS BERHAD
0299,AGX GROUP BERHAD,ACE MARKET,07/02/2024,"44,275,000","432,866,125",0.350,0.360,2.86,0.465,"155,831,805","201,282,748",29.17,TA SECURITIES HOLDINGS BERHAD
0303,ALPHA IVF GROUP BERHAD,ACE MARKET,22/03/2024,"466,560,000","4,860,000,000",0.320,0.320,0.00,0.325,"1,555,200,000","1,579,500,000",1.56,AmInvestment Bank Berhad
5320,PROLINTAS INFRA BUSINESS TRUST,MAIN MARKET,25/03/2024,"445,265,000","1,100,000,000",0.950,0.970,2.11,0.930,"1,067,000,000","1,023,000,000",-4.12,AMINVESTMENT BANK BERHAD
0301,ZANTAT HOLDINGS BERHAD,ACE MARKET,27/03/2024,"18,200,000","280,000,000",0.250,0.375,50.00,0.375,"105,000,000","105,000,000",0.00,M & A SECURITIES SDN BHD
0300,SBH MARINE HOLDINGS BERHAD,ACE MARKET,08/04/2024,"50,600,000","888,000,000",0.220,0.255,15.91,0.280,"226,440,000","248,640,000",9.80,KAF INVESTMENT BANK BERHAD
5321,KEYFIELD INTERNATIONAL BERHAD,MAIN MARKET,22/04/2024,"188,064,000","800,000,000",0.900,1.930,114.44,2.420,"1,544,000,000","1,941,339,367",25.73,M&A SECURITIES SDN BHD
0302,TOPMIX BERHAD,ACE MARKET,23/04/2024,"31,744,620","393,856,000",0.310,0.420,35.48,0.490,"165,419,520","192,989,440",16.67,M&A SECURITIES SDN BHD
5319,MKH OIL PALM (EAST KALIMANTAN) BERHAD,MAIN MARKET,30/04/2024,"155,438,774","1,023,590,845",0.620,0.615,-0.81,0.560,"629,508,370","573,210,873",-8.94,M & A SECURITIES SDN BHD
0304,FARM PRICE HOLDINGS BERHAD,ACE MARKET,14/05/2024,"32,400,000","450,000,000",0.240,0.410,70.83,0.570,"184,500,000","256,500,000",39.02,ALLIANCE ISLAMIC BANK BERHAD
0305,SIN-KUNG LOGISTICS BERHAD,ACE MARKET,15/05/2024,"39,455,000","1,200,000,000",0.130,0.140,7.69,0.160,"168,000,000","192,000,000",14.29,M & A SECURITIES SDN BHD
5322,FEYTECH HOLDINGS BERHAD,MAIN MARKET,21/05/2024,"202,352,640","843,200,000",0.800,1.100,37.50,0.920,"927,520,000","775,744,000",-16.36,TA SECURITIES HOLDINGS BERHAD
03058,TOTAL DYNAMIC HOLDINGS BERHAD,LEAP MARKET,27/05/2024,"5,009,800","250,000,100",0.200,0.260,30.00,0.275,"65,000,026","68,750,028",5.77,WYNCORP ADVISORY SDN BHD
0306,SMART ASIA CHEMICAL BHD,ACE MARKET,28/05/2024,"37,400,000","369,850,420",0.400,0.460,15.00,0.330,"170,131,193","122,050,639",-28.26,Mercury Securities Sdn Bhd
0307,KAWAN RENERGY BERHAD,ACE MARKET,29/05/2024,"43,350,000","550,000,000",0.300,0.465,55.00,0.615,"255,750,000","338,250,000",32.26,M & A SECURITIES SDN BHD
0308,KTI LANDMARK BERHAD,ACE MARKET,19/06/2024,"61,500,000","800,000,000",0.300,0.285,-5.00,0.245,"228,000,000","196,000,000",-14.04,M & A SECURITIES SDN BHD
0309,AGRICORE CS HOLDINGS BERHAD,ACE MARKET,21/06/2024,"25,857,000","202,800,000",0.500,0.875,75.00,0.575,"177,450,000","116,610,000",-34.29,M & A SECURITIES SDN BHD
0310,UUE HOLDINGS BERHAD,ACE MARKET,02/07/2024,"38,967,600","608,292,000",0.240,0.695,189.58,0.645,"422,762,940","392,348,340",-7.19,M & A SECURITIES SDN BHD
0311,GO HUB CAPITAL BERHAD,ACE MARKET,03/07/2024,"37,513,000","400,000,000",0.350,0.950,171.43,1.240,"380,000,000","496,000,000",30.53,UOB KAY HIAN SECURITIES (M) SDN BHD
0312,OCEAN FRESH BERHAD,ACE MARKET,04/07/2024,"14,014,000","210,146,000",0.280,0.770,175.00,0.395,"161,812,420","83,007,670",-48.70,KAF Investment Bank Berhad
5323,JOHOR PLANTATIONS GROUP BERHAD,MAIN MARKET,09/07/2024,"735,000,000","2,500,000,000",0.840,0.900,7.14,0.970,"2,250,000,000","2,425,000,000",7.78,RHB Investment Bank Berhad
0313,BWYS GROUP BERHAD,ACE MARKET,22/07/2024,"78,386,660","1,025,213,000",0.220,0.350,59.09,0.235,"358,824,550","240,925,055",-32.86,M&A SECURITIES SDN BHD
5325,WELL CHIP GROUP BERHAD,MAIN MARKET,23/07/2024,"172,500,000","600,000,000",1.150,1.720,49.57,1.570,"1,032,000,000","942,000,000",-8.72,Kenanga Investment Bank Berhad
0315,KUCINGKO BERHAD,ACE MARKET,26/07/2024,"60,000,000","500,000,000",0.300,0.570,90.00,0.310,"285,000,000","155,000,000",-45.61,KENANGA INVESTMENT BANK BERHAD
0316,SIK CHEONG BERHAD,ACE MARKET,13/08/2024,"23,220,000","266,000,000",0.270,0.360,33.33,0.235,"95,760,000","62,510,000",-34.72,TA SECURITIES HOLDINGS BERHAD
0318,ELRIDGE ENERGY HOLDINGS BERHAD,ACE MARKET,22/08/2024,"203,000,000","2,000,000,000",0.290,0.400,37.93,0.415,"800,000,000","830,000,000",3.75,KAF Investment Bank Berhad
0317,EPB GROUP BERHAD,ACE MARKET,23/08/2024,"62,479,200","372,000,002",0.560,0.620,10.71,0.590,"230,640,001","219,480,001",-4.84,Malacca Securities Sdn Bhd
0319,VETECE HOLDINGS BERHAD,ACE MARKET,28/08/2024,"34,300,000","392,000,000",0.250,0.405,62.00,0.405,"158,760,000","158,760,000",0.00,KENANGA INVESTMENT BANK BERHAD
